101	recovery interval (min)	0	0	32767	0	Maximum recovery interval in minutes	1	1
102	allow updates	0	0	1	0	Allow updates to system tables	1	0
103	user connections	0	0	32767	0	Number of user connections allowed	0	1
106	locks	0	5000	2147483647	0	Number of locks for all users	0	1
107	open objects	0	0	2147483647	0	Number of open database objects	0	1
109	fill factor (%)	0	0	100	0	Default fill factor percentage	0	1
114	disallow results from triggers	0	0	1	0	Disallow returning results from triggers	1	1
115	nested triggers	1	0	1	1	Allow triggers to be invoked within triggers	1	0
116	server trigger recursion	1	0	1	1	Allow recursion for server level triggers	1	0
117	remote access	1	0	1	1	Allow remote access	0	0
124	default language	0	0	9999	0	default language	1	0
400	cross db ownership chaining	0	0	1	0	Allow cross db ownership chaining	1	0
503	max worker threads	0	128	65535	0	Maximum worker threads	1	1
505	network packet size (B)	4096	512	32767	4096	Network packet size	1	1
518	show advanced options	0	0	1	0	show advanced options	1	0
542	remote proc trans	0	0	1	0	Create DTC transaction for remote procedures	1	0
544	c2 audit mode	0	0	1	0	c2 audit mode	0	1
1126	default full-text language	1033	0	2147483647	1033	default full-text language	1	1
1127	two digit year cutoff	2049	1753	9999	2049	two digit year cutoff	1	1
1505	index create memory (KB)	0	704	2147483647	0	Memory for index create sorts (kBytes)	1	1
1517	priority boost	0	0	1	0	Priority boost	0	1
1519	remote login timeout (s)	10	0	2147483647	10	remote login timeout	1	0
1520	remote query timeout (s)	600	0	2147483647	600	remote query timeout	1	0
1531	cursor threshold	-1	-1	2147483647	-1	cursor threshold	1	1
1532	set working set size	0	0	1	0	set working set size	0	1
1534	user options	0	0	32767	0	user options	1	0
1535	affinity mask	0	-2147483648	2147483647	0	affinity mask	1	1
1536	max text repl size (B)	65536	-1	2147483647	65536	Maximum size of a text field in replication.	1	0
1537	media retention	0	0	365	0	Tape retention period in days	1	1
1538	cost threshold for parallelism	5	0	32767	5	cost threshold for parallelism	1	1
1539	max degree of parallelism	0	0	32767	0	maximum degree of parallelism	1	1
1540	min memory per query (KB)	1024	512	2147483647	1024	minimum memory per query (kBytes)	1	1
1541	query wait (s)	-1	-1	2147483647	-1	maximum time to wait for query memory (s)	1	1
1543	min server memory (MB)	0	0	2147483647	16	Minimum size of server memory (MB)	1	1
1544	max server memory (MB)	2147483647	128	2147483647	2147483647	Maximum size of server memory (MB)	1	1
1545	query governor cost limit	0	0	2147483647	0	Maximum estimated cost allowed by query governor	1	1
1546	lightweight pooling	0	0	1	0	User mode scheduler uses lightweight pooling	0	1
1547	scan for startup procs	0	0	1	0	scan for startup stored procedures	0	1
1549	affinity64 mask	0	-2147483648	2147483647	0	affinity64 mask	1	1
1550	affinity I/O mask	0	-2147483648	2147483647	0	affinity I/O mask	0	1
1551	affinity64 I/O mask	0	-2147483648	2147483647	0	affinity64 I/O mask	0	1
1555	transform noise words	0	0	1	0	Transform noise words for full-text query	1	1
1556	precompute rank	0	0	1	0	Use precomputed rank for full-text query	1	1
1557	PH timeout (s)	60	1	3600	60	DB connection timeout for full-text protocol handler (s)	1	1
1562	clr enabled	0	0	1	0	CLR user code execution enabled in the server	1	0
1563	max full-text crawl range	4	0	256	4	Maximum  crawl ranges allowed in full-text indexing	1	1
1564	ft notify bandwidth (min)	0	0	32767	0	Number of reserved full-text notifications buffers	1	1
1565	ft notify bandwidth (max)	100	0	32767	100	Max number of full-text notifications buffers	1	1
1566	ft crawl bandwidth (min)	0	0	32767	0	Number of reserved full-text crawl buffers	1	1
1567	ft crawl bandwidth (max)	100	0	32767	100	Max number of full-text crawl buffers	1	1
1568	default trace enabled	1	0	1	1	Enable or disable the default trace	1	1
1569	blocked process threshold (s)	0	0	86400	0	Blocked process reporting threshold	1	1
1570	in-doubt xact resolution	0	0	2	0	Recovery policy for DTC transactions with unknown outcome	1	1
1576	remote admin connections	0	0	1	0	Dedicated Admin Connections are allowed from remote clients	1	0
