0	Parse Tree	View	-519	32767	6	4	1	4	22	251	0	1	1024	0	0	0	0	0	2652	"CREATE VIEW sys.column_store_dictionaries
AS
	SELECT d.hobt_id as partition_id,
		d.hobt_id,
		c.rscolid as column_id,
		d.dictionary_id,
		d.version,
		d.type,
		(case when has_perms_by_name(OBJECT_SCHEMA_NAME(p.idmajor) + '.' + OBJECT_NAME(p.idmajor), 'OBJECT', 'SELECT') = 1 then d.last_id else NULL end) as last_id,
		(case when has_perms_by_name(OBJECT_SCHEMA_NAME(p.idmajor) + '.' + OBJECT_NAME(p.idmajor), 'OBJECT', 'SELECT') = 1 then d.entry_count else NULL end) as entry_count,
		d.on_disk_size
	FROM sys.syscsdictionaries d
	INNER JOIN sys.sysrowsets p ON d.hobt_id = p.rowsetid
	INNER JOIN sys.sysrscols c ON d.hobt_id = c.rsid and d.column_id = c.hbcolid
	WHERE has_access('CO', p.idmajor) = 1
	
	UNION ALL

	SELECT dict.partition_id,
		dict.hobt_id,
		dict.column_id,
		dict.dictionary_id,
		dict.version,
		dict.type,
		(case when has_perms_by_name(OBJECT_SCHEMA_NAME(dict.object_id) + '.' + OBJECT_NAME(dict.object_id), 'OBJECT', 'SELECT') = 1 then dict.last_id else NULL end) as last_id,
		(case when has_perms_by_name(OBJECT_SCHEMA_NAME(dict.object_id) + '.' + OBJECT_NAME(dict.object_id), 'OBJECT', 'SELECT') = 1 then dict.entry_count else NULL end) as entry_count,		
		dict.on_disc_size
	FROM OpenRowset(TABLE HKCS_DICTIONARIES) dict
	WHERE has_access('CO', dict.object_id) = 1
"
1	Parse Tree	View	-150	32767	6	4	1	2	14	251	0	1	1024	0	0	0	0	0	2164	"CREATE VIEW sys.system_parameters$ AS
	SELECT id AS object_id,
		number,
		name collate catalog_default AS name,
		colid AS parameter_id,
		xtype AS system_type_id,
		utype AS user_type_id,
		length AS max_length,
		prec AS precision, scale,
		sysconv(bit, status & 512) AS is_output,
		sysconv(bit, status & 1024) AS is_cursor_ref,
		sysconv(bit, 0) AS has_default_value,
		sysconv(bit, 0) AS is_xml_document,
		convert(sql_variant, null) AS default_value,
		sysconv(int, 0) AS xml_collection_id,
		sysconv(bit, 0) AS is_readonly,
		sysconv(bit, 1 - (status & 1)) AS is_nullable,
		convert(int, NULL) as encryption_type,
		convert(nvarchar(64), NULL) COLLATE Latin1_General_CI_AS_KS_WS as encryption_type_desc,
		convert(sysname, NULL) COLLATE Latin1_General_CI_AS_KS_WS as encryption_algorithm_name,
		convert(int, NULL) as column_encryption_key_id,
		convert(sysname, NULL) as column_encryption_key_database_name
	FROM sys.syscolpars
	WHERE number > 0 AND (status & 4096) = 4096
		AND (serverproperty('EngineEdition') != 5 OR (status & 0x08000000) != 0)
"
11	Parse Tree	View	-461	32767	6	4	1	20	8	251	0	1	1024	0	0	0	0	0	750	"CREATE VIEW sys.routes AS
	SELECT name,
		route_id = id,
		principal_id = p.indepid,
		remote_service_name = remsvc,
		broker_instance = brkrinst,
		lifetime,
		address = addr,
		mirror_address = miraddr
	FROM sys.sysrts r
	LEFT JOIN sys.syssingleobjrefs p ON p.depid = r.id AND p.class = 49 AND p.depsubid = 0	-- SRC_ROUTEOWNER
	WHERE has_access('RT', r.id) = 1
"
15	Parse Tree	View	-808834573	32767	6	4	1	2	2	251	0	1	1024	0	0	0	0	0	214	"CREATE VIEW sys.dm_tran_current_snapshot AS
	SELECT * 
	FROM OpenRowset(TABLE DM_TRAN_CURRENT_SNAPSHOT)
"
22	Parse Tree	View	-403	32767	6	4	1	2	12	251	0	1	1024	0	0	0	0	0	1536	"CREATE VIEW sys.stats_columns AS
	SELECT s.idmajor AS object_id,
		s.idminor AS stats_id,
		s.subid AS stats_column_id,
		s.intprop AS column_id
	FROM sys.sysiscols s
	WHERE (s.status & 1)  = 1			-- ISC_STATS_COL
		AND has_access('CO', s.idmajor) = 1 
		AND s.idminor NOT IN 
        (
            SELECT t.valnum as stats_id
            FROM tempstatvals t
            WHERE t.valnum < 0x40000
                AND t.subobjid = s.idmajor
        )
    UNION ALL
    SELECT	t.subobjid as object_id,
    		t.valnum as stats_id,
    		v.stats_column_id,
    		v.column_id
    FROM	tempstatvals t   
    		outer apply 
    		OpenRowset(TABLE TEMPSTATS, t.objid, t.subobjid, t.valnum, convert(bit, 1)) v
    WHERE 	has_access('CO', t.subobjid) = 1 
"
23	Parse Tree	View	-749469736	32767	6	4	1	3	6	251	0	1	1024	0	0	0	0	0	288	"
-- add it
create view sys.dm_pdw_nodes_os_buffer_descriptors as
select *, convert(int, null) pdw_node_id from sys.dm_os_buffer_descriptors
"
23	Parse Tree	View	-431797115	32767	6	4	1	5	6	251	0	1	1024	0	0	0	0	0	260	"
-- add it
create view sys.dm_pdw_nodes_clr_appdomains as
select *, convert(int, null) pdw_node_id from sys.dm_clr_appdomains
"
40	Parse Tree	View	-122239902	32767	6	3	1	23	17	251	0	1	1024	0	0	0	0	0	2034	"CREATE VIEW INFORMATION_SCHEMA.COLUMN_PRIVILEGES
AS
SELECT
	USER_NAME(p.grantor_principal_id)	AS GRANTOR,
	USER_NAME(p.grantee_principal_id)	AS GRANTEE,
	DB_NAME()						AS TABLE_CATALOG,
	SCHEMA_NAME(o.schema_id)			AS TABLE_SCHEMA,
	o.name							AS TABLE_NAME,
	c.name							AS COLUMN_NAME,
	convert(varchar(10), CASE p.type
		WHEN 'SL' THEN 'SELECT'
		WHEN 'UP' THEN 'UPDATE'
		WHEN 'RF' THEN 'REFERENCES'
		END)						AS PRIVILEGE_TYPE,
	convert(varchar(3), CASE p.state
		WHEN 'G' THEN 'NO'
		WHEN 'W' THEN 'YES'
		END)						AS IS_GRANTABLE
FROM
    sys.database_permissions p,
    sys.objects o,
    sys.columns c
WHERE
    o.type IN ('U', 'V')
    AND o.object_id = c.object_id
    AND p.class = 1
    AND p.major_id = o.object_id
    AND p.minor_id = c.column_id
    AND p.type IN ('RF','SL','UP')
    AND p.state IN ('G', 'W')
    AND (p.grantee_principal_id = 0
    	OR p.grantee_principal_id = DATABASE_PRINCIPAL_ID()
    	OR p.grantor_principal_id = DATABASE_PRINCIPAL_ID())
"
54	Parse Tree	View	-598	32767	6	4	1	16	9	251	0	1	1024	0	0	0	0	0	1296	"
CREATE VIEW sys.database_automatic_tuning_options AS
SELECT
	adv_opt.advisor_name AS name,
	adv_opt.desired_state,
	spn_des.name AS desired_state_desc,
	adv_opt.actual_state,
	spn_act.name AS actual_state_desc,
	adv_opt.reason,
	spv.name AS reason_desc
FROM
	OpenRowset(TABLE DATABASE_AUTOMATIC_TUNING_ADVISOR_OPTIONS) AS adv_opt
LEFT JOIN sys.syspalnames AS spn_des
	ON spn_des.class = 'ATAT' AND adv_opt.desired_state = spn_des.value
LEFT JOIN sys.syspalnames AS spn_act
	ON spn_act.class = 'ATAT' AND adv_opt.actual_state = spn_act.value
LEFT JOIN sys.syspalvalues AS spv
	ON spv.class = 'ATDR' AND adv_opt.reason = spv.value
"
55	Parse Tree	View	-229	32767	6	4	1	15	16	251	0	1	1024	0	0	0	0	0	1598	"CREATE VIEW sys.via_endpoints AS
	SELECT e.name,
		e.id AS endpoint_id,
		o.indepid AS principal_id,
		e.protocol, p.name AS protocol_desc,
		e.type, t.name AS type_desc,
		convert(tinyint, e.bstat & 3) AS state,	-- BSTAT_STATEMASK
		s.name AS state_desc,
		sysconv(bit, case when e.affinity = -1 then 1 else 0 end) AS is_admin_endpoint, 
		e.site AS discriminator
	FROM master.sys.sysendpts e
	LEFT JOIN sys.syssingleobjrefs o ON o.depid = e.id AND o.class = 60 AND o.depsubid = 0	-- SRC_ENDPTLOGINOWNER
	LEFT JOIN sys.syspalvalues p ON p.class = 'EPPR' AND p.value = e.protocol
	LEFT JOIN sys.syspalvalues t ON t.class = 'EPTY' AND t.value = e.type
	LEFT JOIN sys.syspalvalues s ON s.class = 'EPST' AND s.value = e.bstat & 3
	WHERE e.protocol = 5
		AND has_access('HE', e.id) = 1
"
59	Parse Tree	View	-180698920	32767	6	4	1	21	9	251	0	1	1024	0	0	0	0	0	1344	"
-- add it
create view sys.dm_exec_dms_workers as
select
	execution_id	collate database_default execution_id,
	step_index,
	dms_step_index,
	compute_node_id,
	distribution_id,
	type	collate database_default type,
	status	collate database_default status,
	bytes_per_sec,
	bytes_processed,
	rows_processed,
	start_time,
	end_time,
	total_elapsed_time,
	cpu_time,
	query_time,
	buffers_available,
	dms_cpid,
	sql_spid,
	error_id	collate database_default error_id,
	source_info	collate database_default source_info,
	destination_info	collate database_default destination_info,
	command	collate database_default command
from sys._dm_exec_dms_workers
"
