image,34,34,4,,16,0,0,,1,0,0,0,0,0
text,35,35,4,,16,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
uniqueidentifier,36,36,4,,16,0,0,,1,0,0,0,0,0
date,40,40,4,,3,10,0,,1,0,0,0,0,0
time,41,41,4,,5,16,7,,1,0,0,0,0,0
datetime2,42,42,4,,8,27,7,,1,0,0,0,0,0
datetimeoffset,43,43,4,,10,34,7,,1,0,0,0,0,0
tinyint,48,48,4,,1,3,0,,1,0,0,0,0,0
smallint,52,52,4,,2,5,0,,1,0,0,0,0,0
int,56,56,4,,4,10,0,,1,0,0,0,0,0
smalldatetime,58,58,4,,4,16,0,,1,0,0,0,0,0
real,59,59,4,,4,24,0,,1,0,0,0,0,0
money,60,60,4,,8,19,4,,1,0,0,0,0,0
datetime,61,61,4,,8,23,3,,1,0,0,0,0,0
float,62,62,4,,8,53,0,,1,0,0,0,0,0
sql_variant,98,98,4,,8016,0,0,,1,0,0,0,0,0
ntext,99,99,4,,16,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
bit,104,104,4,,1,1,0,,1,0,0,0,0,0
decimal,106,106,4,,17,38,38,,1,0,0,0,0,0
numeric,108,108,4,,17,38,38,,1,0,0,0,0,0
smallmoney,122,122,4,,4,10,4,,1,0,0,0,0,0
bigint,127,127,4,,8,19,0,,1,0,0,0,0,0
hierarchyid,240,128,4,,892,0,0,,1,0,1,0,0,0
geometry,240,129,4,,-1,0,0,,1,0,1,0,0,0
geography,240,130,4,,-1,0,0,,1,0,1,0,0,0
varbinary,165,165,4,,8000,0,0,,1,0,0,0,0,0
varchar,167,167,4,,8000,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
binary,173,173,4,,8000,0,0,,1,0,0,0,0,0
char,175,175,4,,8000,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
timestamp,189,189,4,,8,0,0,,0,0,0,0,0,0
nvarchar,231,231,4,,8000,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
nchar,239,239,4,,8000,0,0,SQL_Latin1_General_CP1_CI_AS,1,0,0,0,0,0
xml,241,241,4,,-1,0,0,,1,0,0,0,0,0
sysname,231,256,4,,256,0,0,SQL_Latin1_General_CP1_CI_AS,0,0,0,0,0,0
