public,0,R,DATABASE_ROLE,,2003-04-08 09:10:42.317,2009-04-13 12:59:14.467,1,0x01050000000000090400000083741B006749C04BA943C02702F2A762,0,0,NONE,,,0
dbo,1,S,SQL_USER,dbo,2003-04-08 09:10:42.287,2019-11-10 10:51:33.210,,0x01,0,1,INSTANCE,,,0
guest,2,S,SQL_USER,guest,2003-04-08 09:10:42.317,2003-04-08 09:10:42.317,,0x00,0,0,NONE,,,0
INFORMATION_SCHEMA,3,S,SQL_USER,,2009-04-13 12:59:11.717,2009-04-13 12:59:11.717,,,0,0,NONE,,,0
sys,4,S,SQL_USER,,2009-04-13 12:59:11.717,2009-04-13 12:59:11.717,,,0,0,NONE,,,0
db_owner,16384,R,DATABASE_ROLE,,2003-04-08 09:10:42.333,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000000400000,1,0,NONE,,,0
db_accessadmin,16385,R,DATABASE_ROLE,,2003-04-08 09:10:42.333,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000001400000,1,0,NONE,,,0
db_securityadmin,16386,R,DATABASE_ROLE,,2003-04-08 09:10:42.350,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000002400000,1,0,NONE,,,0
db_ddladmin,16387,R,DATABASE_ROLE,,2003-04-08 09:10:42.350,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000003400000,1,0,NONE,,,0
db_backupoperator,16389,R,DATABASE_ROLE,,2003-04-08 09:10:42.350,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000005400000,1,0,NONE,,,0
db_datareader,16390,R,DATABASE_ROLE,,2003-04-08 09:10:42.363,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000006400000,1,0,NONE,,,0
db_datawriter,16391,R,DATABASE_ROLE,,2003-04-08 09:10:42.363,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000007400000,1,0,NONE,,,0
db_denydatareader,16392,R,DATABASE_ROLE,,2003-04-08 09:10:42.380,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000008400000,1,0,NONE,,,0
db_denydatawriter,16393,R,DATABASE_ROLE,,2003-04-08 09:10:42.380,2009-04-13 12:59:14.467,1,0x01050000000000090400000000000000000000000000000009400000,1,0,NONE,,,0
